AREA_BRUTA,QUARTOS,FINALIDADE,FREGUESIA,REF,ESTADO,AREA_TERRENO,ESTACIONAMENTO,C_BANHO,CONCELHO,TIPO_DE_IMOVEL,PRECO_DE_ARRENDAMENTO,DISTRITO,ZONA,CERT_ENERG,PRECO_DE_VENDA
85,-1,VENDA,SE_SANTA_MARIA_E_MEIXEDO,292180052,USADO,-1,-1,1,BRAGANCA,LOJA,-1,BRAGANCA,-1,-1,56000
240,-1,VENDA,MOGADOURO_VALVERDE_VALE_DE_PORCO_E_VILAR_DE_REI,286180007,ND,460,-1,-1,MOGADOURO,LOTE_DE_TERRENO,-1,BRAGANCA,-1,-1,50000
56,-1,VENDA,NOGUEIRA,292180051,ND,56,-1,-1,BRAGANCA,TERRENO,-1,BRAGANCA,-1,-1,15000
6600,-1,VENDA,NOGUEIRA,292180050,ND,6600,-1,-1,BRAGANCA,TERRENO_RÚSTICO,-1,BRAGANCA,-1,-1,14000
216390,-1,VENDA,OLMOS,286180006,ND,216390,-1,-1,MACEDO_DE_CAVALEIROS,TERRENO_RÚSTICO,-1,BRAGANCA,-1,-1,75000
246,4,VENDA,SAMIL,292180049,USADO,166,3,3,BRAGANCA,MORADIA_GEMINADA,-1,BRAGANCA,-1,D,165000
140,4,VENDA,SE_SANTA_MARIA_E_MEIXEDO,292180048,USADO,-1,1,4,BRAGANCA,MORADIA,-1,BRAGANCA,-1,B-,135000
93,1,VENDA,MACEDO_DE_CAVALEIROS,292180047,USADO,-1,1,1,MACEDO_DE_CAVALEIROS,APARTAMENTO,-1,BRAGANCA,-1,-1,57000
150,3,VENDA,SE_SANTA_MARIA_E_MEIXEDO,292180046,USADO,-1,1,2,BRAGANCA,APARTAMENTO,-1,BRAGANCA,-1,A,132500
190,3,VENDA,SE_SANTA_MARIA_E_MEIXEDO,292180045,USADO,125,-1,1,BRAGANCA,MORADIA_DEVOLUTA,-1,BRAGANCA,-1,-1,60000
113,-1,VENDA,SE_SANTA_MARIA_E_MEIXEDO,292180044,USADO,-1,-1,2,BRAGANCA,LOJA,-1,BRAGANCA,-1,-1,78000
165,-1,VENDA,TO,286180005,ND,165,-1,-1,MOGADOURO,TERRENO_URBANO,-1,BRAGANCA,-1,-1,15000
184,-1,VENDA,SE_SANTA_MARIA_E_MEIXEDO,292180043,USADO,-1,-1,2,BRAGANCA,LOJA,-1,BRAGANCA,-1,-1,155000
510,7,VENDA,MASCARENHAS,292180042,USADO,340,-1,2,MIRANDELA,MORADIA_PARA_RESTAURAR,-1,BRAGANCA,-1,-1,52000
385,4,VENDA,SE_SANTA_MARIA_E_MEIXEDO,292180041,USADO,450,4,3,BRAGANCA,MORADIA,-1,BRAGANCA,-1,C,220000
126,-1,VENDA,SE_SANTA_MARIA_E_MEIXEDO,292180040,USADO,-1,-1,2,BRAGANCA,ARMAZEM,-1,BRAGANCA,-1,B,62500
570,6,VENDA,SE_SANTA_MARIA_E_MEIXEDO,292180039,USADO,6500,8,4,BRAGANCA,MORADIA_ISOLADA,-1,BRAGANCA,-1,D,255000
100,3,VENDA,SE_SANTA_MARIA_E_MEIXEDO,292180028,USADO,-1,-1,2,BRAGANCA,APARTAMENTO,-1,BRAGANCA,-1,C,75000
75,2,VENDA,SE_SANTA_MARIA_E_MEIXEDO,292180027,USADO,-1,1,1,BRAGANCA,APARTAMENTO,-1,BRAGANCA,-1,E,52000
116,3,VENDA,SE_SANTA_MARIA_E_MEIXEDO,292180025,USADO,-1,-1,2,BRAGANCA,APARTAMENTO,-1,BRAGANCA,-1,D,-1
222,5,VENDA,TORRE_DE_MONCORVO,256180032,USADO,56,2,2,TORRE_DE_MONCORVO,MORADIA,-1,BRAGANCA,-1,E,175000
240,3,VENDA,CASTRELOS_E_CARRAZEDO,292180024,USADO,120,4,2,BRAGANCA,MORADIA,-1,BRAGANCA,-1,F,100000
224,5,VENDA,SE_SANTA_MARIA_E_MEIXEDO,292180023,USADO,-1,5,2,BRAGANCA,MORADIA,-1,BRAGANCA,-1,E,82000
288,4,VENDA,MOGADOURO_VALVERDE_VALE_DE_PORCO_E_VILAR_DE_REI,286180004,USADO,212,2,3,MOGADOURO,MORADIA_EM_BANDA,-1,BRAGANCA,-1,F,160000
524,-1,VENDA,SE_SANTA_MARIA_E_MEIXEDO,292180022,USADO,165,-1,-1,BRAGANCA,PREDIO,-1,BRAGANCA,-1,C,150000
110,3,VENDA,SE_SANTA_MARIA_E_MEIXEDO,292180019,USADO,496,2,2,BRAGANCA,APARTAMENTO,-1,BRAGANCA,-1,E,95000
170,5,VENDA_ARRENDAMENTO,TORRE_DE_MONCORVO,256180020,USADO,-1,2,3,TORRE_DE_MONCORVO,DUPLEX,475,BRAGANCA,-1,E,145000
225,4,VENDA,MALHADAS,286180003,USADO,220,-1,1,MIRANDA_DO_DOURO,MORADIA_RÚSTICA,-1,BRAGANCA,-1,F,100000
312,6,VENDA,TORRE_DE_MONCORVO,256180018,USADO,100,2,4,TORRE_DE_MONCORVO,MORADIA,-1,BRAGANCA,-1,B,225000
92,2,VENDA,SE_SANTA_MARIA_E_MEIXEDO,292180016,USADO,-1,-1,1,BRAGANCA,APARTAMENTO,-1,BRAGANCA,-1,D,75000
360,6,VENDA,URROS,286180002,USADO,18550,-1,3,MOGADOURO,MORADIA_ISOLADA,-1,BRAGANCA,-1,-1,150000
109,-1,VENDA,SE_SANTA_MARIA_E_MEIXEDO,292180014,USADO,98,-1,-1,BRAGANCA,MORADIA,-1,BRAGANCA,-1,-1,115000
1721,-1,VENDA,GIMONDE,292180013,ND,1721,-1,-1,BRAGANCA,TERRENO,-1,BRAGANCA,-1,-1,55000
157,3,VENDA,SE_SANTA_MARIA_E_MEIXEDO,292180011,USADO,-1,2,2,BRAGANCA,APARTAMENTO,-1,BRAGANCA,-1,D,135000
180,2,VENDA,SOBREIRO_DE_BAIXO_E_ALVAREDOS,292180010,USADO,620,2,2,VINHAIS,MORADIA,-1,BRAGANCA,-1,-1,88000
145,3,VENDA,SAMIL,292180009,USADO,-1,1,2,BRAGANCA,APARTAMENTO,-1,BRAGANCA,-1,E,95000
250,5,VENDA,SE_SANTA_MARIA_E_MEIXEDO,292180008,USADO,263,5,3,BRAGANCA,MORADIA,-1,BRAGANCA,-1,-1,180000
320,-1,VENDA,CASTRELOS_E_CARRAZEDO,292180007,USADO,-1,-1,-1,BRAGANCA,RESTAURANTE,-1,BRAGANCA,-1,B-,225000
158,3,VENDA,SE_SANTA_MARIA_E_MEIXEDO,292180006,USADO,-1,-1,3,BRAGANCA,MORADIA,-1,BRAGANCA,-1,C,150000
346,5,VENDA,MIRANDELA,256180015,USADO,307,4,5,MIRANDELA,MORADIA,-1,BRAGANCA,-1,C,250000
